0	        28.2	22.8	  30.9	16384	        0.99
1024	    28.2	24.7	  31.3	139264	      0.82
2048	    29.2	26.7	  32	  286720	      1.25
4096	    29.3	30.2	  33.1	589824	      1.45
8192	    29.3	35.6	  36.1	1258291.2	    1.33
16384	    29.4	47	    35.6	3355443.2	    1.18
32768	    29.4	69.5	  35.8	4718592	      1.40
65536	    29.4	118.6	  38.9	8598323.2	    1.35
131072	  29.5	205.7	  42.9	14680064	    1.31
262144	  29.5	399.5	  46	  32505856	    1.11
524288	  29.5	789.8	  41.6	63963136	    1.05
1048576	  29.5	1536 	  35.1	130023424	    0.86
2097152	  29.7	3187.2	37	  243269632	    0.72
4194304	  30	  6246.4	41	  524288000	    0.82
8388608	  30.1	12865.6	50	  1181116006.4	0.70
16777216	30.5	25606.4	39.5	2040109465.6	1.06
